Time: 2016-12-22 09:42:58 ms:710 Level: LOG INFO     Message: [LC,R,0]
Time: 2016-12-22 09:42:58 ms:711 Level: LOG INFO     Message: [0,01]
Time: 2016-12-22 09:42:58 ms:711 Level: LOG INFO     Message: [ED,R,0]
Time: 2016-12-22 09:42:58 ms:711 Level: LOG INFO     Message: [0,01]
Time: 2016-12-22 09:42:58 ms:711 Level: LOG INFO     Message: [CN,R,0]
Time: 2016-12-22 09:42:58 ms:712 Level: LOG INFO     Message: [0,2010101000]
Time: 2016-12-22 09:42:59 ms:557 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:59 ms:557 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:59 ms:557 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:42:59 ms:557 Level: LOG INFO     Message: [EG,R,0]
Time: 2016-12-22 09:42:59 ms:557 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:42:59 ms:557 Level: LOG INFO     Message: [BS,R,0]
Time: 2016-12-22 09:42:59 ms:558 Level: LOG INFO     Message: [0,0000]
Time: 2016-12-22 09:42:59 ms:558 Level: LOG INFO     Message: [EB,R,0]
Time: 2016-12-22 09:42:59 ms:558 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:42:59 ms:558 Level: LOG INFO     Message: [EL,R,0]
Time: 2016-12-22 09:42:59 ms:559 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:42:59 ms:559 Level: LOG INFO     Message: [LM,R,0]
Time: 2016-12-22 09:42:59 ms:559 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:42:59 ms:559 Level: LOG INFO     Message: [TD,R,0]
Time: 2016-12-22 09:42:59 ms:559 Level: LOG INFO     Message: [0,01]
Time: 2016-12-22 09:42:59 ms:559 Level: LOG INFO     Message: [RD,R,0]
Time: 2016-12-22 09:42:59 ms:560 Level: LOG INFO     Message: [0,01]
Time: 2016-12-22 09:42:59 ms:560 Level: LOG INFO     Message: [EF,R,0]
Time: 2016-12-22 09:42:59 ms:560 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:42:59 ms:560 Level: LOG INFO     Message: [FM,R,0]
Time: 2016-12-22 09:42:59 ms:561 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:42:59 ms:561 Level: LOG INFO     Message: [FD,R,0]
Time: 2016-12-22 09:42:59 ms:561 Level: LOG INFO     Message: [0,01]
Time: 2016-12-22 09:42:59 ms:561 Level: LOG INFO     Message: [AF,R,0]
Time: 2016-12-22 09:42:59 ms:562 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:42:59 ms:562 Level: LOG INFO     Message: [SU,R,0]
Time: 2016-12-22 09:42:59 ms:562 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:43:00 ms:557 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:00 ms:557 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:00 ms:557 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:01 ms:004 Level: LOG INFO     Message: [SF,W,0,1]
Time: 2016-12-22 09:43:01 ms:004 Level: LOG INFO     Message: [0]
Time: 2016-12-22 09:43:01 ms:007 Level: LOG WARNING  Message: DM 26 packet crc error
Time: 2016-12-22 09:43:01 ms:007 Level: LOG WARNING  Message: DM 29 packet crc error
Time: 2016-12-22 09:43:01 ms:007 Level: LOG WARNING  Message: DM 32 packet crc error
Time: 2016-12-22 09:43:01 ms:007 Level: LOG WARNING  Message: DM 35 packet crc error
Time: 2016-12-22 09:43:01 ms:007 Level: LOG WARNING  Message: DM 56 packet crc error
Time: 2016-12-22 09:43:01 ms:007 Level: LOG WARNING  Message: DM 26 packet crc error
Time: 2016-12-22 09:43:01 ms:007 Level: LOG WARNING  Message: DM 29 packet crc error
Time: 2016-12-22 09:43:01 ms:007 Level: LOG WARNING  Message: DM 32 packet crc error
Time: 2016-12-22 09:43:01 ms:007 Level: LOG WARNING  Message: DM 35 packet crc error
Time: 2016-12-22 09:43:01 ms:007 Level: LOG WARNING  Message: DM 56 packet crc error
Time: 2016-12-22 09:43:01 ms:557 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:01 ms:557 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:01 ms:557 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:01 ms:560 Level: LOG INFO     Message: [SF,W,0,0]
Time: 2016-12-22 09:43:01 ms:560 Level: LOG INFO     Message: [0]
Time: 2016-12-22 09:43:02 ms:557 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:02 ms:557 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:02 ms:557 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:03 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:03 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:03 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:04 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:04 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:04 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:05 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:05 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:05 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:06 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:06 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:06 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:07 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:07 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:07 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:08 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:08 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:08 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:09 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:09 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:09 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:10 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:10 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:10 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:11 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:11 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:11 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:12 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:12 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:12 ms:558 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:13 ms:559 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:13 ms:559 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:13 ms:559 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:14 ms:559 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:14 ms:559 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:14 ms:559 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:15 ms:559 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:15 ms:559 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:15 ms:559 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:16 ms:559 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:16 ms:559 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:16 ms:559 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:17 ms:559 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:17 ms:559 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:17 ms:559 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:43:18 ms:559 Level: LOG INFO     Message: [TP,W,0,0]
Time: 2016-12-22 09:43:18 ms:559 Level: LOG INFO     Message: [0]
Time: 2016-12-22 09:44:36 ms:150 Level: LOG INFO     Message: [PN,R,0]
Time: 2016-12-22 09:44:36 ms:152 Level: LOG INFO     Message: [0,1000]
Time: 2016-12-22 09:44:36 ms:152 Level: LOG INFO     Message: [PD,R,0]
Time: 2016-12-22 09:44:36 ms:153 Level: LOG INFO     Message: [0,10]
Time: 2016-12-22 09:44:36 ms:153 Level: LOG INFO     Message: [OM,R,0]
